كراسة اختبار كبيرة - مشروع مجمع سكني ومرافق
م	البند	الكمية	الوحدة
430	توريد وتركيب شبكة إنذار حريق مطفي	11	عدد
431	توريد وتركيب كاميرات مراقبة مطفي	48	عدد
432	توريد وتركيب شبكة بيانات مطفي	344	م ط
433	توريد خوذ سلامة مطفي	122	عدد
434	توريد أحذية سلامة مطفي	108	زوج
435	توريد قفازات عمل مطفي	145	زوج
436	توريد سقالات معدنية مطفي	26	طن
437	توريد وتركيب مولد كهربائي مطفي	18	جهاز
438	توريد لوحات توزيع فرعية مطفي	148	عدد
439	توريد وتركيب أحواض زراعة مطفي	26	عدد
440	توريد شجيرات ظل مطفي	63	عدد
441	توريد وتركيب بلاط بورسلين لامع	267	م²
442	توريد وتركيب أرضيات رخام لامع	304	م²
443	توريد وتركيب نعلات خشبية لامع	171	م ط
444	أعمال الدهان الداخلي لامع	378	م²
445	توريد وتركيب أسقف جبسية لامع	415	م²
446	توريد وتركيب قواطع جيبسوم بورد لامع	452	م²
447	توريد وتركيب قواطع زجاجية لامع	489	م²
448	توريد كيابل نحاس لامع	356	م ط
449	توريد وتركيب وحدات إضاءة ليد لامع	78	عدد
450	توريد وتركيب لوحة كهرباء رئيسية لامع	115	عدد
451	توريد وتركيب مخارج كهرباء لامع	152	عدد
452	توريد وتركيب كواشف دخان لامع	30	عدد
453	توريد وتركيب مجاري هواء مرنة لامع	541	م ط
454	توريد وتركيب مضخة مياه لامع	104	عدد
455	توريد وتركيب خلاطات مياه لامع	141	عدد
456	توريد وتركيب مواسير PPR لامع	72	م ط
457	توريد حديد تسليح لامع	23	طن
458	توريد خرسانة جاهزة لامع	136	م³
459	توريد أسمنت مقاوم لامع	883	كيس
460	توريد وتركيب طوب أسمنتي لامع	8	عدد
461	توريد وتركيب عزل مائي لامع	1007	م²
462	توريد وتركيب عزل حراري لامع	1044	م²
463	توريد وتركيب أبواب خشبية لامع	119	عدد
464	توريد وتركيب نوافذ ألمنيوم لامع	1118	م²
465	توريد وتركيب درابزين ستانلس لامع	405	م ط
466	توريد وتركيب مصاعد كهربائية لامع	71	عدد
467	توريد وتركيب مكيفات سبليت لامع	24	جهاز
468	توريد وتركيب مراوح شفط لامع	145	عدد
469	توريد وتركيب طفايات حريق لامع	23	عدد
470	توريد وتركيب شبكة إنذار حريق لامع	60	عدد
471	توريد وتركيب كاميرات مراقبة لامع	97	عدد
472	توريد وتركيب شبكة بيانات لامع	84	م ط
473	توريد خوذ سلامة لامع	12	عدد
474	توريد أحذية سلامة لامع	68	زوج
475	توريد قفازات عمل لامع	105	زوج
476	توريد سقالات معدنية لامع	24	طن
477	توريد وتركيب مولد كهربائي لامع	10	جهاز
478	توريد لوحات توزيع فرعية لامع	38	عدد
479	توريد وتركيب أحواض زراعة لامع	75	عدد
480	توريد شجيرات ظل لامع	112	عدد
